what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382377595
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1564382377658
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1564382398528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1564382483010
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1564382513989
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1564382519398
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1564382519398
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1564382519413
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1564382519413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382525477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382542710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1564382545948
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1564382594367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382608412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382615068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382628967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382687053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1564382687085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564382693900
